Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
"NATIONALIZE ALL MASKS AND ORDER that any supply over 50 be turned in to National Guard Armories in 5 days!

Issue an Executive Order prohibiting the export of masks today!

@SenatorShaheen @Maggie_Hassan @realDonaldTrump @VP @TheJusticeDept 
#coronavirus #masks",face_masks,FAVOR,_,_,1246072135677861888
It’s a whole bunch of painters walking through the airport :sob::joy::sob::joy::sob: #coronavirus #ThatMaskIsntGoingToStopIt #RealLifePaintersAreMad,face_masks,AGAINST,_,_,1233645904155906048
"Anyone else in their 20s get weird looks while wearing a mask out in public? Like I’m not tryna die ... or kill other people

#covid19 #coronavirus #protectingmyself",face_masks,FAVOR,_,_,1246132525128351749
I’d like to offer you all a bit of feedback.  The medical masks you’re all buying by the hundreds are not going to protect you from the corona virus.  They will however protect my kid when I change her central line dressing.....stop being hysterical and be responsible.,face_masks,AGAINST,_,_,1234946617230315525
"Can anyone link me to something about effectiveness of homemade, washable/reusable masks please? #Covid19",face_masks,FAVOR,_,_,1246327090821152768
Damn chintoks...eat anything that moves &amp; then gift the world #coronavirus - looks like I’m going to have to walk around with my boxers on my head!,face_masks,AGAINST,_,_,1235616702500610050
"Rte reporting experts have questioned the US administrations decision not to urge widespread mask use.  The same rte who reports for our government that we don't need them.
#IrelandVsCOVID #COVID19",face_masks,FAVOR,_,_,1246379485836054529
"@GovKemp “There is no reset button to play the game again. You only get one shot...this is exactly what happened in 1918.” Health Expert on #Government response to #COVID19. #Georgia lost valuable time in the first 2 weeks of March. No screenings @ATLairport, no #socialdistancing",face_masks,AGAINST,_,_,1249548851058524161
"While the Tidal Basin remains closed, the rest of the National Mall is accessible for recreational activities permissible under the mayor’s Stay at Home order. Facilities and services are extremely limited; all restrooms are closed. #SocialDistancing",face_masks,FAVOR,_,_,1246465674987417601
"Last place you would want to be on holiday right now? See questionnaire.
#coronavirus 
#coronvirusuk 
#CoronavirusUSA 
#CoronavirusFrance",face_masks,AGAINST,_,_,1236291938833358852
"Stay Home 

Cover Your Face 

Protect the NHS 

Save More Lives 

#CoronaVirus",face_masks,FAVOR,_,_,1246531525967056896
@Reuters Just #FakeNews #COVID19,face_masks,AGAINST,_,_,1253637747560112133
@CPHO_Canada I bet a mask would be a great way to keep an asymp from infecting other people... #COVID19 #AllInThisTogether #Masks #Masks4All #maskswork,face_masks,FAVOR,_,_,1247686821913354240
If you're willing to wear the surgical mask or facial covering then you're already halfway towards getting the mandatory coronavirus injection. I am not even close.,face_masks,AGAINST,_,_,1253641958393872390
"Sad news, John Prine the singer and songwriter has died from coronavirus.
#JohnPrine #COVID19 #music #usaCoronavirus #USA #Masks4All",face_masks,FAVOR,_,_,1247766388522942469
There is no obligation to reduce the probability that our ordinary life will harm someone to zero. #coronavirus #COVID,face_masks,AGAINST,_,_,1261112269611700227
"China didn’t spread the CoronaVirus in the UK 

The UK did that. 

Stop blaming , take responsibility and fix it 

Public Health England - You’re In Shit Order!

#COVID19 #Covid19uk #coronavirus",face_masks,FAVOR,_,_,1247815079262924802
@ShawnG927 Texting and driving will kill you faster than the Corona Virus...:man_facepalming:,face_masks,AGAINST,_,_,1261299842791473155
"I prefer Trumps delineate political interference 
Than the Worlds Health organisations egos.

To say covering your face doesn’t protect you .. has become just a stubborn genocidal narrative.

#CoronaVirus",face_masks,FAVOR,_,_,1247981748178345985
"@NYCMayor @NYGovCuomo
@NYCDOH when did ice cream trucks fall under ""essential."" This BS has already begun. People are out of control in 11213. Stay tuned, there WILL be illegal block parties before Sunday... #COVID19",face_masks,AGAINST,_,_,1261374610148335617
"@Dr_Anonymous33 Here in the city of Atlanta, 75% of shoppers at the local Kroger are wearing a face covering. I was wearing one two weeks ago. Everyone's catching up to me. It can't hurt so wear one. #COVID2019 #COVID19 #facemasks",face_masks,FAVOR,_,_,1246648933386006532
@reaIdonaIdtripe Of course you don't need a mask! I think you should go to the hospital with many people sick with covid-19 and visit them and sit with them. This is what we need in our president a leader someone who's not afraid of a little germ,face_masks,AGAINST,_,_,1259156414095781894
@realDonaldTrump Buttt a tiger and some lions contracted it? Lol I don’t know. :woman_facepalming_light_skin_tone: #coronavirus #CoronavirusPandemic #SocialDistancing,face_masks,FAVOR,_,_,1246926088657387521
"Stop making a big deal about WH officials not wearing masks! They might be secret resistance....remind me who is 3rd in line for the presidency again?
#coronavirus",face_masks,AGAINST,_,_,1259158476028346370
"@KeirSimmons you do a great job reporting, but not so great at showing  how wear a mask. Please don't wear a presumptively contaminated mask like an ascot. #Masks4All #COVID19",face_masks,FAVOR,_,_,1247111049268072449
"I had an urgent home repair so I ran over to @HomeDepot . You'd never know 79,000 people have died from a disease we know nothing about. Men, women, kids, young, old all milling around mask free like they didn't have a care in the world. #COVID19 #COVIDIOTS #COVIDIOT",face_masks,AGAINST,_,_,1259552759977775104
"Are you wearing a face mask?

#COVID19 #Coronavirus #CoronaVirusUpdate #CoronavirusOutbreak #Covid_19 #Masks4All #MasksNow",face_masks,FAVOR,_,_,1247562188182544386
#SocialDistancing can kiss my ass cheeks!! It’s a load of bullshit,face_masks,AGAINST,_,_,1259683524602454016
"@piersmorgan It wasn't ""preventable"". Ridiculous. Its IMPACT was available to be MINIMISED &amp; LESSENED but we've missed the boat due to government guidelines on the wearing of #facemasks by the public &amp; by their not admitting the #virus IS airborne. #COVID19 #coronavirus",face_masks,FAVOR,_,_,1249354761897476096
"@politico DAY 73 TRUMP PANDEMIC UPDATE
1,380,177 Cases 
       81,413 Deaths
        12,539 New cases
1,039,690 Active cases
9,665,944 Tests (2.9%)
Limited testing
Limited treatment
No cure
No vaccine 
       *5/11/2020 4:00 pm EDT

#FailedPresident 
#COVID19",face_masks,AGAINST,_,_,1259943078179139584
":arrow_up: also disposable #gowns, #nitrile #gloves, goggles and visors, as well as digital #thermometers. Let me know how I can help. 

#covid19 #PPE #ppeshortage #n95masks #n95mask #kn95mask #disposablemask #PPEShortages #PPEs #PPEforTheNHS",face_masks,FAVOR,_,_,1249386306192527361
"Yes, it is your right to not have to wear a mask in public. But it’s also my right to mock the death of your parents/grandparents if they get #COVID19.

Also, fuck you
#mask",face_masks,AGAINST,_,_,1259966475055632384
"I’m not interested in your Money 

I don’t need to prove my Reputation 

I don’t have to Tow the Line

It’s been about 20 years since I needed to ‘keep the peace, to keep my job’

The science is very clear #CoronaVirus can be contracted through Airborne particles.",face_masks,FAVOR,_,_,1252644618442805250
"@Projectjamaica @AndrewHolnessJM Live with it like we've lived with, and bounces back from everything else that has hit us. Unfortunately the mass of Jamaicans are captivated under a trance, willingly giving up any rights/freedom they had for bondage 'security'. 

#COVID19 #JaCOVID19 #NoNewNormal",face_masks,AGAINST,_,_,1260462948331532289
@maddow Why aren't they all at home? #SocialDistancing #StayHome #WearaMask,face_masks,FAVOR,_,_,1253103177546620928
Not sure what the fuss is about. If I get it throw me some HCQ &amp; zinc and it's a wrap! #CoronaHoax #CoronavirusPandemic #Corona #CoronavirusUSA #CoronaLockdown,face_masks,AGAINST,_,_,1260747752696352768
"If you’re now spouting attention seeking dribble about wearing masks and covering your face etc..

You’re precisely 3 months too late Doc 

You’re 18,000 Dead too late 

You’re a wasted career too late 

Shut up and go back to your warm comfort zone 

#CoronaVirus",face_masks,FAVOR,_,_,1253138981375614980
Masks are about as effective at stopping coronavirus as cigarette filters are for stopping lung cancer. #COVID19,face_masks,AGAINST,_,_,1260749670478942209
I want to point out that no member of Slipknot has contracted covid-19 since this started.,face_masks,FAVOR,_,_,1251527383200432133
"Not scared of #covid19
I'll stick with the data: We're 99.97% safe, good enough for me.",face_masks,AGAINST,_,_,1270556089222942720
