Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
@LizRNC Your dysfunctional government hasn't done enough testing in USA to even dream that #Trump #Loyalty Culter #DearLeader Clubber Doctor #Brix is right! Wake the fuk up #Trumpdotard! #TrumpLiesAmericansDie #COVID19 I'll check back w you in 2 weeks you dreamer!Only listen to,fauci,FAVOR,_,_,1243346962029727745
It is a shame @BillGates isn't in charge of leading the national response to coronavirus as he clearly has a much better understanding than I've heard from the government minus maybe,fauci,FAVOR,_,_,1243348942256996358
"@sardesairajdeep Excuse me that line was borrowed from #DrFauci, allergy specialist from the US, and very much part of @realDonaldTrump 's daily WH press briefings on the #coronavirus ! Obviously all your panel of doctors watch those press briefings very carefully!",fauci,FAVOR,_,_,1244932791420293120
Is losing your fake tan on your eyelids a sign of Coronavirus? #TrumpKills #trumpkills2020 #Trumpkills #googlewhat #readingmaybe,fauci,FAVOR,_,_,1241848475756777477
#PressBriefing #COVIDIOT #COVID19  where is,fauci,FAVOR,_,_,1241849826356219906
"Donald Trump “Why should we be testing in a test tube for a year and a half when we have thousands of people who are sick?”

WHERE IS DR. FAUCI?!!!!!

THIS MAN IS FUCKING DANGEROUS!!!

#TrumpVirus #PressBriefing #DumpTrump #Covid19 #Coronavirus",fauci,FAVOR,_,_,1241863508427300865
"Mr. President, don’t be a #COVIDIOT and have a #NationalLockdown! Time for EVERYONE to stay home, at the same time and STOP (not slow) the spread of the #ChineseVirus! #COVIDー19 #coronavirus #COVID19 #COVID #COVIDIOTS @VP @CDCgov @CDCemergency @CDCDirector",fauci,FAVOR,_,_,1241946215400570883
@Scavino45 @VP @realDonaldTrump @USNationalGuard @fema Where was Dr Fauci today? We need to see him at every presser. He’s the only one that people trust #DrFauci #FauciIsAllOfUs #COVID19 #COVIDー19,fauci,FAVOR,_,_,1241979602148483073
"@LZubulake Dr. Anthony Fauci, the top scientific adviser to the coronavirus task force, admitted that he finds President Trump’s disregard of facts frustrating at times, but that to the president’s credit, “on substantive issues, he does listen to what I say.” Gotta &lt;3",fauci,FAVOR,_,_,1242099546131496962
"@business After dire warning of 100,000-200,000 deaths by #CoronaVirus , if we keep our economy closed and in end there is less than regular flu annual death rate of 20,000, we need to fire",fauci,FAVOR,_,_,1244362861129764864
"@CDCgov @NIH  Do #Ozone machines or #UV sanitizers kill #coronavirus ? Does Lysol spray kill the virus in homes? What products can we use to sanitize our homes, cars, personal effects? Any response or link(s) appreciated. #cnnbrk @ABC @FoxNews @Oregonian @KATUNews",fauci,FAVOR,_,_,1244369302683144197
Thank You @POTUS @VP and @WhiteHouse #COVID19 team for the briefing this Sunday evening!  So much good information!  God bless you all with wisdom and effective strategy!  :flag_for_United_States::star2::flag_for_United_States::star2::flag_for_United_States::star2::flag_for_United_States::star2::flag_for_United_States::star2::flag_for_United_States::star2::flag_for_United_States::star2::flag_for_United_States: #DrBirx,fauci,FAVOR,_,_,1244405391540260865
"The 200K possible death prediction in the U.S. for COVID-19 is ridiculous as well as irresponsible,  fear mongering.",fauci,FAVOR,_,_,1244613617640767489
"Mr. President, 
Sir--
You are suppose to be giving a #coronavirus briefing to the American people This is NOT  to be a ""product placement"" by you for #MyPillow or an endorsement by that company's owner for your inept leadership  #StopAiringTrump I want to hear",fauci,FAVOR,_,_,1244745494120681473
@realDonaldTrump @KRMainEvent President Trump be careful with Dr. Fauci he did a Q&amp;A With Liberal Basketball player #StephenCurry On the CoronaVirus  #HeadsUp also he is a Very Negative man,fauci,FAVOR,_,_,1244753677396688896
@funder Another #SocialDistancing fail by #DrBirx and,fauci,FAVOR,_,_,1245114798196613120
Fauci for President #coronavirus,fauci,FAVOR,_,_,1245139344358166528
"Trump's #covid19 adviser, Dr. Birx stated the UK has less than 40,000 ventilators and then bragged about the US having 5 times that amount. The problem is the US has 5 times UK's population! Oops.
#WhiteHouseBriefing #coronavirus #DrBirx",fauci,FAVOR,_,_,1245149540195471361
"#DeborahBirx said there are many #coronavirus tests available that aren’t in use yet, this is good news. Testers need to break with brand loyalty. #COVID19",fauci,FAVOR,_,_,1245310769174118400
