Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
"@JonnyHeald6 Told to remove jewellery,tie hair,have bin bag ready to remove clothing when get home&amp; put in wash machine.Highly contagious.I know but THESE lengths nec?I was there on Fri&amp;nowt was said :thinking_face:Worrying. #covid19",school_closures,FAVOR,_,_,1241866645938765824
"All inquiries or queries please email the WoS Director, Robyn Bull: robyn.bull@uq.edu.au

#wosqld #wonderofscience #covid19",school_closures,FAVOR,_,_,1245178590376808449
Although it’s great my school has continued as ‘normal’ (as it can be). I am definitely ready for half term and the mental break. #kidsincare #keyworker #coronavirus,school_closures,FAVOR,_,_,1245599546639409153
"In the beginning was MADE IN ITALY :flag_for_Italy: then it became MADE IN JAPAN :flag_for_Japan:. Today is MADE IN CHINA :flag_for_China:. Will tomorrow be MADE IN LEBANON :flag_for_Lebanon:? The tiny country just joined the great industrialized nations in school closures... &amp; has exploration
#coronavirus #oilandgas #Lebanon",school_closures,FAVOR,_,_,1233642626915631105
"How will Covid-19 harm gender equality? With 89% of the worlds students turning to online learning there will be a huge negative impact for girls. Globally 25% fewer women have access to the internet than men (50% in Africa). Let that sink in.
#genderequality #education",school_closures,FAVOR,_,_,1247843013134516224
Heard a case of #coronavirus at #Noida sriram school. please do take necessary precautions. It takes 24 days to show symptoms. #delhi #Gurgaon,school_closures,FAVOR,_,_,1234726729983225856
"@dm_ghaziabad ... How are we taking care of children safety during this pandemic Corona virus. Delhi schools have been closed for kids but in Ghaziabad we haven't heard anything about schools , colleges and sanitation.
#coronavirusinindia #Ghaziabad #YogiAdityanath",school_closures,FAVOR,_,_,1235569094159749122
"We all sending the schools a fine when they take our kids out during term time?? 

#CoronavirusPandemic #coronavirus",school_closures,FAVOR,_,_,1238088018025689089
"@browardschools With all the money we GIVE schools,  you'd think they would put hand sanitizer stations throughout the schools (entrances, exits, cafeterias, outside areas). I'm sure superintendent can make that happen. #handsanitizer #BrowardCounty #school #Covid19 #CoronaVirusUpdate",school_closures,FAVOR,_,_,1238228451460616192
UK schools should minimise classroom based teaching for the next term and ramp out support for online/virtual classrooms and online mentoring. Schools should offer teaching and tutoring online and minimise high risk group teaching. #COVID19,school_closures,FAVOR,_,_,1239431492209704961
Anyone else feeling the most unsure about the day or week ahead as a school leader? I know most weeks are unpredictable in school but this is something else! @SLTchat @PrimaryRocks1 #coronavirus,school_closures,FAVOR,_,_,1239434838735650817
@thismorning @Schofe How have you managed to discuss ‘school closures’ without even a mention of the teachers and staff who work in our schools? #coronavirus,school_closures,FAVOR,_,_,1239497497141223427
Ahead of meeting with Educarion Secretary for England @RealGeoffBarton ““The concerns we will be raising with him are the challenges of keeping open schools and colleges when a growing number of staff are away from work because they are self-isolating;   1/2 #covid19,school_closures,FAVOR,_,_,1239498054807552000
"People r on about keeping their kids home from skool cuz of Coronavirus 
Think I will send mine in this week:thumbs_up_light_skin_tone:
Will toughen the immune system an I am sick of the sight of them after the long weekend:grimacing::joy::school:
#schoolclosure 
#covidー19uk 
#coronavirus 
#CoronavirusOutbreak",school_closures,FAVOR,_,_,1239600475533643783
@OntHospitalAssn Talk to the Education Minister — use simple words and pictures.  @fordnation @Sflecce @cbcasithappens #COVID19,school_closures,FAVOR,_,_,1249022913304559623
"PM Abe, I know he’s been trying his best to tackle this difficult situation for his folks. 
But I wonder why he hasn’t decided to shut schools in Japan to save children. They are the future of his country.
#COVID19 #Japan #CoronavirusPandemic #coronavirusjapan",school_closures,FAVOR,_,_,1249326526010511360
Wales and Scotland to shut its schools by the end of the week. England will no doubt be next. #Sturgeon #scotland #wales #ShutTheSchools #coronavirus,school_closures,FAVOR,_,_,1240287502365270019
"How are other countries helping with key workers children? 

We must all support each other and find out the best ways. 

If you are in countries with school closure, please could you comment.

Please retweet 
#coronavirus #COVID19 #teaching",school_closures,FAVOR,_,_,1240589153164763137
IMPORTANT ADVISORY: FOR EMPLOYEES @nlcpeople especially Education and Families. Parents who work in this sector are now entitled to 20 days special leave to stay home and look after children. This covers all employees @EISUnion @unitetheunion @northlan_unison #COVID19,school_closures,FAVOR,_,_,1240956507040210944
"@DrEricDing @MayorJenny @JayInslee @waltgov @cyrushabib you are making the first mistake - most of the news is followed @ #coronavirus &amp; variations, less #COVID19

you stupid fukcs! @seattletimes #Seattle #WA #governor install containment measures against epidemic!!!!!!! 

#SCHOOLS 
#SportingEvents",school_closures,FAVOR,_,_,1236720638309498880
"The coronavirus is a problem, much worse than @realDonaldTrump thinks and we need real solutions. But, the cancelling of school and sporting events is stupid beyond belief. People are going to come in contact with each other, limiting events won’t help. #coronavirus",school_closures,FAVOR,_,_,1237612758654275586
"Lets get this trending #parentswhocan If we unite en-mass the government will hear our voice. IF you CHOOSE to have your child home from school and you CAN do this, then allow parents to do this without penalisation
#cornoravirusuk #covid19 #cornoravirusuk #uk",school_closures,FAVOR,_,_,1237686959495094273
"Dear Corona,

Please go away!

Love, Ben

#coronavirus #love #stayhome #FivePerfectMovies #Chargers",school_closures,FAVOR,_,_,1252676571032367106
At woolies there are protective screens. Bunnings you line up. Pharmacies have screens and customer limits. Nurses have masks and gloves. Schools = nothing. Zero protection. Unsafe workplace. #COVID19Aus #Covid_19australia #covid #coronavirusaustralia,school_closures,FAVOR,_,_,1253821356816297984
@matthewtbeard So your thoughts on West Australian kids being allowed to go back to school in 2 weeks? #auspol #wapol #covid19australia #coronavirus #australia #schoolclosure,school_closures,FAVOR,_,_,1251756849189146624
I think due to covid-19 all our kids missed out on most a school year does this mean that maybe they will stay in the year they were in because my lad is coming up to thinking about what options to take for #GCSES #schoolclosureuk #school,school_closures,FAVOR,_,_,1252185792715333632
"when the business reopen, they have to use diagnostic Antibody test for screening their employees in the office to make sure no one is exposed to COVID-19. #StayHomeSaveLives  #COVID19  #Unlock  #SecondPeak  #reopening",school_closures,FAVOR,_,_,1268102936774623233
@ToryFibs A new phenomenon affecting previously asymptomatic children with COVID-19 infection manifesting as a hyperinflammatory syndrome with multi-organ involvement similar to Kawasaki disease shock syndrome. #Covid19UK #ThisMorning,school_closures,FAVOR,_,_,1260864389936226304
"@IsabelOakeshott Isabel

Next week you go and look after coughing 5 year olds who don't put hands over their mouths and whose parents may have Covid 19.

In three weeks time tweet how brave you were.

#coronavirusuk #coronavirus #COVIDー19 #Covid19UK #COVID19",school_closures,FAVOR,_,_,1260866947656409089
"Simple solution: #Leo can appear on television and tell everyone that #Covid19 is NOT scary, and children are NOT at risk, NOT vectors.

Just flip the script.

The people will believe anything they see, hear, read, on #mediaBias!

#govtLies #ciarant #creche",school_closures,FAVOR,_,_,1260897021055176704
"@_foodmach Oh, just while we’re at it.There does appear to be a bit of a niche market. eg.We had calls from Hong Kong,where they were trying to source kids face masks. There is little supply in the world. Trendy designs, for use at school are even rarer. @billshortenmp #coronavirus",school_closures,FAVOR,_,_,1261108973538734082
"#BREAKING: Dr. Bonnie Henry, Premier John Horgan and Minister of Education Rob Fleming announced that voluntary returns to school will start on June 1, 2020 on a part-time basis. Parents may wait until September to send their kids back #COVID19 #COVID19BC #BC #education",school_closures,FAVOR,_,_,1261346675739602944
"The hate towards teachers this week is heart breaking  .. just because they want to keep our children and themselves safe..
#COVID19 
#NEUcllrs",school_closures,FAVOR,_,_,1261394794237947904
Ministers’ plans to reopen schools as early as 1 June are in serious doubt after unions representing teachers and school staff insisted that they would not consider a return without a stringent coronavirus “test and trace” regime. Should schools reopen on June the 1st?,school_closures,FAVOR,_,_,1259077276815237125
"@BorisJohnson Although it has been a pleasure not having the braying hordes in HoC, please only put teachers back into the firing line from Covid-19 when you yourself would feel safe working without social distancing. #lockdownuk",school_closures,FAVOR,_,_,1259170737061072898
