Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
"Coronavirus update, India:

- 65 new cases in last 24 hours
- 722 cases in total
- 44 recovered
- 18 deaths
- Nearly 25,000 people tested
- Whole country under lockdown
#CoronaUpdates",stay_at_home_orders,FAVOR,_,_,1243283469217624064
Let’s clap the NHS every Thursday at 8pm to show our appreciation until it’s over! @BorisJohnson #NHS #NHSCovidHeroes #clapforourcarers #clapforNHS #clapforthenhs #coronavirus #covid19UK #COVIDー19 #CoronaVillains #StayHomeSaveLives #confinement,stay_at_home_orders,FAVOR,_,_,1243286840976818177
I stay  meditating like I’m in the Himalayas party hard like I’m in the clubs and working hard eating more food  working out relaxing #QuarantineLife,stay_at_home_orders,FAVOR,_,_,1243287570718564352
Feel like I’m at the Oscars been nominated for 10 different challenges on Instagram today #coronavirus,stay_at_home_orders,FAVOR,_,_,1243287579660869633
"Stay home and live like there’s no tomorrow :)

#coronavirus #COVID #COVID2019 #CoronavirusLockdown",stay_at_home_orders,FAVOR,_,_,1243289315536334848
Essential is capitalist speak for expendable. Stay vigilant stay safe #coronavirus #EssentialWorker #COVID2019,stay_at_home_orders,FAVOR,_,_,1243291299609968644
"Those ""annoying"", dreaded jobs some ppl cursed out so passionately prior to this crisis.. Whether 9-5 or part time, have those same ppl questioning life in their absence. 
Unsure what to do w. this extra time.  
Its as if ppl forgot about Books, Hobbies :woozy_face:
#coronavirus",stay_at_home_orders,FAVOR,_,_,1243294990543081472
"No politics, no rape case, no murders,  no wars, no chaos, no crime, no pollution.
But this time will fleet away.
#COVID19",stay_at_home_orders,FAVOR,_,_,1243298170005790722
"So it was payday who is paying rent for the first time?

#JustSaying
#COVID19",stay_at_home_orders,FAVOR,_,_,1243299914693705729
The only way to beat  COVID-19 and stop the spread of the virus is if we stayed at home,stay_at_home_orders,FAVOR,_,_,1243300984127979522
"Thank you Dr Birk for that info.. The fear mongers out there saying half the U.S will get it or die can now stop and play reality baseball..

#coronavirus
#ThursdayMotivation
#MLBOpeningDay #maga #WalkAway #openingday2020",stay_at_home_orders,FAVOR,_,_,1243302322685566979
"@mog7546 People like who believe #COVID19 isn't a threat, spreading paranoia &amp; fear and that countries should be reopened just to get money are a threat everyone else in the world. These people need to be arrested. #COVIDIDIOTS

#StayHome
#WashYourHands",stay_at_home_orders,FAVOR,_,_,1243305442916175872
"I didn't give myself nearly enough credit for how much we ate out. 
#QuarantineLife",stay_at_home_orders,FAVOR,_,_,1243307263516909568
"Let me sip this Henny, put on a Gilda &amp; vogue tf down
#CongratulationsAmerica #QuarantineLife #coronavirus",stay_at_home_orders,FAVOR,_,_,1243310187219427329
How many apps on your smartphone are still useful? #COVID #QuarantineLife,stay_at_home_orders,FAVOR,_,_,1243313873911861248
@optimum @OptimumHelp What you’re doing for the Coronavirus pandemic is providing widespread internet outages &amp; no customer service. Not even your automated number works. Outages all week long #optimum #internetdown #nointernet #COVID19,stay_at_home_orders,FAVOR,_,_,1243319443456917506
"This year for Lent, the Earth gave up people. 
#COVID2019 #StayHome #coronavirus #corona #COVID19",stay_at_home_orders,FAVOR,_,_,1243320409145122816
What's the hardest thing for you to keep track of right now? #QuarantineLife #StayHome,stay_at_home_orders,FAVOR,_,_,1243322354438152195
